sample_index,adc_raw,voltage_V
399,1911,0.38493
400,1390,0.27999
401,808,0.16275
402,366,0.07372
403,352,0.07090
404,789,0.15893
405,1254,0.25259
406,1835,0.36962
407,2143,0.43166
408,2130,0.42904
409,1792,0.36096
410,1203,0.24232
411,649,0.13073
412,381,0.07674
413,408,0.08218
414,899,0.18108
415,1436,0.28925
416,1968,0.39641
417,2144,0.43186
418,2071,0.41716
419,1669,0.33618
420,1082,0.21795
421,585,0.11784
422,306,0.06164
423,508,0.10233
424,1089,0.21936
425,1610,0.32430
426,2028,0.40850
427,2171,0.43730
428,1973,0.39742
429,1497,0.30154
430,923,0.18592
431,476,0.09588
432,312,0.06285
433,583,0.11743
434,1191,0.23990
435,1761,0.35472
436,2150,0.43307
437,2163,0.43569
438,1874,0.37748
439,1299,0.26166
440,787,0.15852
441,387,0.07795
442,402,0.08097
443,717,0.14442
444,1356,0.27314
445,1828,0.36821
446,2164,0.43589
447,2161,0.43529
448,1784,0.35935
449,1203,0.24232
450,638,0.12851
451,322,0.06486
452,401,0.08077
453,885,0.17826
454,1482,0.29852
455,1903,0.38332
456,2210,0.44516
457,2103,0.42360
458,1658,0.33397
459,993,0.20002
460,496,0.09991
461,298,0.06003
462,459,0.09246
463,1008,0.20304
464,1608,0.32390
465,2036,0.41011
466,2209,0.44496
467,2014,0.40568
468,1494,0.30093
469,837,0.16860
470,449,0.09044
471,327,0.06587
472,630,0.12690
473,1118,0.22520
474,1773,0.35713
475,2113,0.42562
476,2157,0.43448
477,1850,0.37264
478,1365,0.27495
479,707,0.14241
480,371,0.07473
481,346,0.06969
482,730,0.14704
483,1267,0.25521
484,1915,0.38574
485,2161,0.43529
486,2169,0.43690
487,1798,0.36217
488,1193,0.24030
489,607,0.12227
490,317,0.06385
491,404,0.08138
492,834,0.16799
493,1434,0.28885
494,2013,0.40548
495,2171,0.43730
496,2048,0.41253
497,1608,0.32390
498,1044,0.21029
499,461,0.09286
500,323,0.06506
501,485,0.09769
502,1090,0.21956
503,1594,0.32108
504,2123,0.42763
505,2223,0.44778
506,1951,0.39299
507,1466,0.29529
508,876,0.17645
509,480,0.09669
510,388,0.07815
511,670,0.13496
512,1193,0.24030
513,1760,0.35451
514,2164,0.43589
515,2159,0.43488
516,1852,0.37305
517,1367,0.27535
518,804,0.16195
519,395,0.07956
520,405,0.08158
521,807,0.16255
522,1342,0.27032
523,1855,0.37365
524,2193,0.44173
525,2125,0.42804
526,1760,0.35451
527,1181,0.23789
528,657,0.13234
529,360,0.07251
530,482,0.09709
531,857,0.17262
532,1444,0.29086
533,2007,0.40427
534,2159,0.43488
535,2071,0.41716
536,1602,0.32269
537,1057,0.21291
538,488,0.09830
539,301,0.06063
540,534,0.10756
541,1005,0.20244
542,1607,0.32370
